Title,Studio,TotalGross,TotalTheaters,OpeningGross,OpeningTheaters,OpeningDate,Director,MainActor,Rating,Genre,Month
Get Out,Uni.,176040665,3143,33377060,2781,2/24/2017,Jordan Peele,Daniel Kaluuya,6,Comedy,2
Get Smart,WB,130319208,3915,38683480,3911,6/20/2008,Peter Segal," 
Steve Carell",6,Action,6
G-Force,BV,119436770,3697,31706934,3697,7/24/2009,Hoyt H. Yeatman Jr.,Sam Rockwell,5,Fantasy,7
Ghost Rider,Sony,115802596,3620,45388836,3619,2/16/2007,Mark Steven Johnson,Nicolas Cage,5,Thriller,2
Ghost Rider: Spirit of Vengeance,Sony,51774002,3174,22115334,3174,2/17/2012,Mark Neveldine,Nicolas Cage,5,Action,2
Ghost Ship,WB,30113491,2787,11503423,2787,10/25/2002,Steve Beck,Julianna Margulies,6,Horror,10
Ghosts of Girlfriends Past,WB (NL),55250026,3175,15411434,3175,5/1/2009, Mark Waters, Matthew McConaughey,6,Fantasy,5
Gifted,FoxS,24801212,2215,446380,56,4/7/2017,Marc Webb,Chris Evans,7,Action,4
Girls Trip,Uni.,115171585,2648,31201920,2591,7/21/2017,Malcolm D. Lee,Regina Hall,7,Comedy,7
Gladiator,DW,187705427,3188,34819017,2938,5/5/2000,Ridley Scott,Russell Crowe,8,Action,5
Glory Road,BV,42647449,2397,13594734,2222,1/13/2006,James Gartner,Josh Lucas,7,Drama,1
Go,Sony,16943454,1563,4706795,1563,4/9/1999,Doug Liman,Sarah Polley,7,Crime,4
Gods of Egypt,LG/S,31153464,3117,14123903,3117,2/26/2016,Alex Proyas,Brenton Thwaites,5,Action,2
Gone Girl,Fox,167767189,3284,37513109,3014,10/3/2014,David Fincher,Ben Affleck,8,Mystery,10
Good Boy!,MGM,37667746,3225,13107022,3225,10/10/2003,John Hoffman,Liam Aiken,5,Comedy,10
Good Luck Chuck,LGF,35017297,2612,13652001,2612,9/21/2007,Mark Helfrich,Dane Cook,6,Comedy,9
Goosebumps,Sony,80080379,3618,23618556,3501,10/16/2015,Rob Letterman,Jack Black,6,Adventure,10
Goosebumps 2: Haunted Halloween,Sony,46700633,3723,15802225,3521,10/12/2018,Ari Sandel,Wendi McLendon-Covey,6,Adventure,10
Gosford Park,USA,41308615,918,241219,9,12/26/2001,Robert Altman,Maggie Smith,7,Drama,12
Gothika,WB,59694580,2382,19288438,2382,11/21/2003,Mathieu Kassovitz,Halle Berry,6,Horror,11
Gran Torino,WB,148095302,3045,271720,6,12/12/2008,Clint Eastwood,Clint Eastwood,8,Drama,12
Gravity,WB,274092705,3820,55785112,3575,10/4/2013,Alfonso Cuarón,Sandra Bullock,6,Romance,10
Green Book,Uni.,84806896,2648,320429,25,11/16/2018,Peter Farrelly,Viggo Mortensen,8,Drama,11
Green Lantern,WB,116601172,3816,53174303,3816,6/17/2011,Martin Campbell,Ryan Reynolds,5,Adventure,6
Green Zone,Uni.,35053660,3004,14309295,3003,3/12/2010,Paul Greengrass,Matt Damon,6,War,3
Gridiron Gang,Sony,38432823,3510,14414630,3504,9/15/2006,Phil Joanou,Dwayne Johnson,7,Action,9
Grindhouse,W/Dim.,25037897,2629,11596613,2624,4/6/2007,Robert Rodriguez, Rose McGowan,6,Horror,4
Grown Ups,Sony,162001186,3534,40506562,3534,6/25/2010, Dennis Dugan,Adam Sandler,6,Comedy,6
Grown Ups 2,Sony,133668525,3491,41508572,3491,7/12/2013,Dennis Dugan,Adam Sandler,6,Comedy,7
Grudge Match,WB,29807260,2856,7021993,2838,12/25/2013,Peter Segal,Robert De Niro,6,Comedy,12
Guardians of the Galaxy,BV,333176600,4088,94320883,4080,8/1/2014,James Gunn,Chris Pratt,8,Action,8
Guardians of the Galaxy Vol. 2,BV,389813101,4347,146510104,4347,5/5/2017,James Gunn,Chris Pratt,8,Action,5
Guess Who,Sony,68915888,3147,20671446,3147,3/25/2005,Kevin Rodney Sullivan,Ashton Kutcher,6,Comedy,3
Hacksaw Ridge,LGF,67209615,2971,15190758,2886,11/4/2016,Mel Gibson,Andrew Garfield,8,Drama,11
Hall Pass,WB (NL),45060734,2950,13535374,2950,2/25/2011,Bobby Farrelly,Owen Wilson,6,Comedy,2
Halloween: Resurrection,Dim.,30354442,2094,12292121,1954,7/12/2002,Rick Rosenthal,Jamie Lee Curtis,4,Horror,7
Hancock,Sony,227946274,3965,62603879,3965,7/2/2008,Peter Berg," 
Will Smith",6,Fantasy,7
Hanging Up,Sony,36050230,2618,13567978,2618,2/18/2000,Diane Keaton,Diane Keaton,5,Drama,2
Hanna,Focus,40259119,2545,12370549,2535,4/8/2011,David Farr,Esme Creed-Miles,7,Action,4
Hannibal,MGM,165092268,3292,58003121,3230,2/9/2001,Ridley Scott,Anthony Hopkins,7,Crime,2
Hannibal Rising,MGM/W,27670986,3003,13051650,3003,2/9/2007,Peter Webber," 
Gaspard Ulliel",6,Crime,2
Happy Death Day,Uni.,55683845,3535,26039025,3149,10/13/2017,Christopher Landon,Jessica Rothe,7,Horror,10
Happy Feet,WB,198000317,3804,41533432,3804,11/17/2006,George Miller,Elijah Wood,6,Animation,11
Happy Feet Two,WB,64006466,3611,21237068,3606,11/18/2011,George Miller,Elijah Wood,6,Animation,11
Hardball,Par.,40222729,2314,9386342,2137,9/14/2001,Brian Robbins,Keanu Reeves,6,Comedy,9
Harry Potter and the Chamber of Secrets,WB,261988482,3682,88357488,3682,11/15/2002,Chris Columbus,Daniel Radcliffe,8,Adventure,11
Harry Potter and the Goblet of Fire,WB,290013036,3858,102685961,3858,11/18/2005,Mike Newell,Daniel Radcliffe,8,Adventure,11
Harry Potter and the Half-Blood Prince,WB,301959197,4455,77835727,4325,7/15/2009, David Yates,Daniel Radcliffe,8,Adventure,7
Harry Potter and the Order of the Phoenix,WB,292004738,4285,77108414,4285,7/11/2007,David Yates,Daniel Radcliffe,8,Adventure,7
Harry Potter and the Prisoner of Azkaban,WB,249541069,3855,93687367,3855,6/4/2004,Alfonso Cuarón,Daniel Radcliffe,8,Adventure,6
Head of State,DW,38125247,2256,13503484,2151,3/28/2003,Chris Rock,Chris Rock,5,Comedy,3
Heartbreakers,MGM,40336607,2751,11801323,2750,3/23/2001,David Mirkin,Sigourney Weaver,6,Crime,3
Hearts in Atlantis,WB,24185781,2010,9021494,1751,9/28/2001,Scott Hicks,Anthony Hopkins,7,Drama,9
Heaven is for Real,TriS,91443253,3048,22522221,2417,4/16/2014,Randall Wallace,Greg Kinnear,6,Drama,4
Heist,WB,23510841,1891,7823521,1891,11/9/2001,David Mamet,Gene Hackman,6,Action,11
Hell or High Water,LGF,27007844,1505,621329,32,8/12/2016,David Mackenzie,Chris Pine,7,Crime,8
Hellboy,SonR,59623958,3043,23172440,3028,4/2/2004,Guillermo del Toro,Ron Perlman,7,Fantasy,4
Hellboy II: The Golden Army,Uni.,75986503,3212,34539115,3204,7/11/2008,Guillermo del Toro," 
Ron Perlman",7,Adventure,7
Here Comes the Boom,Sony,45290318,3014,11816596,3014,10/12/2012,Frank Coraci,Kevin James,6,Action,10
Hereafter,WB,32746941,2424,220322,6,10/15/2010,Clint Eastwood,Matt Damon,6,Drama,10
Hereditary,A24,44069456,2998,13575172,2964,6/8/2018,Ari Aster,Toni Collette,7,Horror,6
Hero,Mira.,53710019,2175,18004319,2031,8/27/2004,Paul Haggis,Don Cheadle,8,Drama,8
Hidalgo,BV,67303450,3065,18829435,3063,3/5/2004,Joe Johnston,Viggo Mortensen,7,Western,3
Hidden Figures,Fox,169607287,3416,515499,25,12/25/2016,Theodore Melfi,Taraji P. Henson,8,Drama,12
Hide and Seek,Fox,51100486,3005,21959233,3005,1/28/2005,John Polson,Robert De Niro,6,Horror,1
High Crimes,Fox,41543917,2747,14005550,2717,4/5/2002,Carl Franklin,Jim Caviezel,6,Drama,4
High Fidelity,BV,27287137,1231,6429107,1183,3/31/2000,Stephen Frears,John Cusack,7,Comedy,3
High School Musical 3: Senior Year,BV,90559416,3626,42030184,3623,10/24/2008," Kenny Ortega
"," 
Zac Efron",7,Comedy,10
Hitch,Sony,179495555,3575,43142214,3575,2/11/2005,Andy Tennant,Will Smith,6,Comedy,2
Hitman,Fox,39687694,2468,13180769,2458,11/21/2007,Xavier Gens, Timothy Olyphant,6,Action,11
Hitman: Agent 47,Fox,22467450,3273,8326530,3261,8/21/2015,Aleksander Bach,Rupert Friend,6,Action,8
Holes,BV,67406573,2452,16300155,2331,4/18/2003,Andrew Davis,Shia LaBeouf,7,Adventure,4
Hollow Man,Sony,73209340,2956,26414386,2956,8/4/2000,Paul Verhoeven,Kevin Bacon,6,Action,8
Hollywood Homicide,SonR,30940691,2840,11112632,2840,6/13/2003,Ron Shelton,Harrison Ford,5,Action,6
Home Again,ORF,27020284,3036,8567881,2940,9/8/2017,Hallie Meyers-Shyer,Reese Witherspoon,5,Drama,9
Home on the Range,BV,50030461,3058,13880771,3047,4/2/2004,Will Finn,Judi Dench,6,Animation,4
Honey,Uni.,30308417,1972,12856040,1942,12/5/2003,Bille Woodruff,Jessica Alba,6,Romance,12
Hop,Uni.,108085305,3616,37543710,3579,4/1/2011,Tim Hill,Russell Brand,6,Animation,4
Hope Springs,Sony,63536011,2441,14650121,2361,8/8/2012,David Frankel,Meryl Streep,5,Comedy,8
Horrible Bosses,WB (NL),117538559,3134,28302165,3040,7/8/2011,Seth Gordon,Jason Bateman,7,Comedy,7
Horrible Bosses 2,WB,54445357,3400,15457418,3375,11/26/2014,Sean Anders,Jason Bateman,6,Comedy,11
Hostage,Mira.,34639939,2183,10214734,2123,3/11/2005,Florent-Emilio Siri,Bruce Willis,7,Action,3
Hostel,Lions,47326473,2337,19556099,2195,1/6/2006,Eli Roth,Jay Hernandez,6,Horror,1
Hostiles,ENTMP,29819114,2934,22849,3,12/22/2017,Scott Cooper,Scott Shepherd,7,Drama,12
Hot Pursuit,WB (NL),34580201,3037,13942258,3003,5/8/2015,Anne Fletcher,Reese Witherspoon,6,Action,5
Hot Tub Time Machine,MGM,50287556,2771,14020502,2754,3/26/2010, Steve Pink,John Cusack,6,Science Fiction,3
Hotel for Dogs,P/DW,73034460,3271,17012212,3271,1/16/2009, Thor Freudenthal,Emma Roberts,6,Comedy,1
Hotel Rwanda,UA,23530892,824,100091,7,12/22/2004,Terry George,Don Cheadle,8,Drama,12
Hotel Transylvania,Sony,148313048,3375,42522194,3349,9/28/2012,Genndy Tartakovsky,Adam Sandler,7,Animation,9
Hotel Transylvania 2,Sony,169700110,3768,48464322,3754,9/25/2015,Genndy Tartakovsky,Adam Sandler,7,Animation,9
Hotel Transylvania 3: Summer Vacation,Sony,167510016,4267,44076225,4267,7/13/2018,Genndy Tartakovsky,Genndy Tartakovsky,7,Family,7
House at the End of The Street,Rela.,31611916,3083,12287234,3083,9/21/2012,Mark Tonderai,Jennifer Lawrence,6,Horror,9
House of Wax,WB,32064800,3111,12077236,3111,5/6/2005,Jaume Collet-Serra,Chad Michael Murray,6,Horror,5
House on Haunted Hill,WB,40846082,2710,15946032,2710,10/29/1999,William Malone,Geoffrey Rush,6,Horror,10
How Do You Know,Sony,30212620,2483,7484696,2483,12/17/2010, James L. Brooks," 
Reese Witherspoon",5,Comedy,12
How High,Uni.,31178740,1273,7102260,1266,12/21/2001,Jesse Dylan,Method Man,6,Comedy,12
How the Grinch Stole Christmas,Uni.,260044825,3256,55082330,3127,11/17/2000,Ron Howard,Jim Carrey,7,Family,11
How to be a Latin Lover,PNT,32149404,1203,12252439,1118,4/28/2017,Ken Marino,Eugenio Derbez,6,Comedy,4
How to Be Single,WB (NL),46843513,3357,17878911,3343,2/12/2016,Christian Ditter,Dakota Johnson,6,Comedy,2
How to Lose a Guy in 10 Days,Par.,105813373,2923,23774850,2923,2/7/2003,Donald Petrie,Kate Hudson,7,Comedy,2
How to Train Your Dragon,P/DW,217581231,4060,43732319,4055,3/26/2010,Chris Sanders,Jay Baruchel,8,Fantasy,3
How to Train Your Dragon 2,Fox,177002924,4268,49451322,4253,6/13/2014,Dean DeBlois,Jay Baruchel,8,Fantasy,6
Hubble 3D,WB,52401702,151,413477,39,3/19/2010,Toni Myers, Toni Myers,7,Documentary,3
Hugo,Par.,73864507,2608,11364505,1277,11/23/2011,Martin Scorsese,Asa Butterfield,7,Adventure,11
Hulk,Uni.,132177234,3674,62128420,3660,6/20/2003,Ang Lee,Eric Bana,5,Drama,6
I Am Legend,WB,256393010,3648,77211321,3606,12/14/2007,Francis Lawrence,Will Smith,7,Drama,12
I Am Number Four,BV,55100437,3156,19449893,3154,2/18/2011,D.J. Caruso,Alex Pettyfer,6,Action,2
I Am Sam,NL,40311852,1450,41779,2,12/28/2001,Jessie Nelson,Sean Penn,7,Drama,12
I Can Only Imagine,RAtt.,83482352,2894,17108914,1629,3/16/2018,Andrew Erwin,J. Michael Finley,8,Drama,3
I Feel Pretty,STX,48795601,3440,16030218,3440,4/20/2018,Abby Kohn,Amy Schumer,6,Comedy,4
I Spy,Sony,33561137,3182,12752803,3182,11/1/2002,Betty Thomas,Eddie Murphy,5,Action,11
Ice Age,Fox,176387405,3345,46312454,3316,3/15/2002,Chris Wedge,Denis Leary,7,Animation,3
Ice Age: Collision Course,Fox,64063008,3997,21373064,3992,7/22/2016,Mike Thurmeier,Ray Romano,6,Adventure,7
Ice Age: Continental Drift,Fox,161321843,3886,46629259,3881,7/13/2012,Steve Martino,Ray Romano,6,Animation,7
Ice Age: Dawn of the Dinosaurs,Fox,196573705,4102,41690382,4099,7/1/2009, Carlos Saldanha,Ray Romano,7,Animation,7
Ice Age: The Meltdown,Fox,195330621,3969,68033544,3964,3/31/2006,Carlos Saldanha,Ray Romano,7,Animation,3
Identity,Sony,52159536,2733,16225263,2733,4/25/2003,James Mangold,John Cusack,7,Mystery,4
Identity Thief,Uni.,134506920,3230,34551025,3141,2/8/2013,Seth Gordon,Jason Bateman,6,Comedy,2
If I Stay,WB (NL),50474843,3157,15679190,2907,8/22/2014,R.J. Cutler,Chloë Grace Moretz,7,Drama,8
Immortals,Rela.,83504017,3120,32206425,3112,11/11/2011,Tarsem Singh,Henry Cavill,6,Fantasy,11
In Good Company,Uni.,45806659,1963,151750,3,12/29/2004,Paul Weitz,Dennis Quaid,6,Comedy,12
In Her Shoes,Fox,32880591,2840,10017575,2808,10/7/2005,Curtis Hanson,Toni Collette,6,Comedy,10
In the Bedroom,Mira.,35930604,1103,93972,4,11/23/2001,Todd Field,Tom Wilkinson,7,Drama,11
In the Heart of the Sea,WB,25020758,3103,11053366,3103,12/11/2015,Ron Howard,Chris Hemsworth,7,Thriller,12
In Time,Fox,37520095,3127,12050368,3122,10/28/2011,Andrew Niccol,Justin Timberlake,7,Action,10
Inception,WB,292576195,3792,62785337,3792,7/16/2010,Christopher Nolan,Leonardo DiCaprio,8,Action,7
Incredibles 2,BV,608581744,4410,182687905,4410,6/15/2018,Brad Bird,Craig T. Nelson,8,Action,6
Independence Day: Resurgence,Fox,103144286,4130,41039944,4130,6/24/2016,Roland Emmerich,Liam Hemsworth,5,Action,6
Indiana Jones and the Kingdom of the Crystal Skull,Par.,317101119,4264,100137835,4260,5/22/2008,Steven Spielberg," 
Harrison Ford",6,Adventure,5
Inferno,Sony,34343574,3576,14860425,3576,10/28/2016,Ron Howard,Tom Hanks,5,Action,10
Inglourious Basterds,Wein.,120540719,3358,38054676,3165,8/21/2009,Quentin Tarantino," 
Brad Pitt",8,Drama,8
Inside Man,Uni.,88513495,2867,28954945,2818,3/24/2006,Spike Lee,Denzel Washington,7,Crime,3
Inside Out,BV,356461711,4158,90440272,3946,6/19/2015,Pete Docter,Amy Poehler,5,Drama,6
Insidious,FD,54009150,2419,13271464,2408,4/1/2011,James Wan,Patrick Wilson,7,Horror,4
Insidious: The Last Key,Uni.,67745330,3150,29581355,3116,1/5/2018,Adam Robitel,Lin Shaye,6,Mystery,1
Insomnia,WB,67355513,2610,20930169,2610,5/24/2002,Christopher Nolan,Al Pacino,7,Crime,5
Inspector Gadget,BV,97403112,2877,21889138,2814,7/23/1999,David Kellogg,Matthew Broderick,4,Action,7
Instant Family,Par.,67363237,3426,14504315,3286,11/16/2018,Sean Anders,Mark Wahlberg,8,Comedy,11
Instinct,BV,34105207,2129,10390387,2059,6/4/1999,Jon Turteltaub,Anthony Hopkins,7,Drama,6
Instructions Not Included,LGF,44467206,978,7846426,348,8/30/2013,Eugenio Derbez,Eugenio Derbez,8,Comedy,8
Interstellar,Par.,188020017,3561,47510360,3561,11/5/2014,Christopher Nolan,Matthew McConaughey,8,Adventure,11
Into The Storm,WB (NL),47602194,3434,17346427,3434,8/8/2014,Steven Quale,Richard Armitage,6,Drama,8
Into the Woods,BV,128002372,2833,31051923,2440,12/25/2014,Rob Marshall,Anna Kendrick,6,Music,12
Intolerable Cruelty,Uni.,35327628,2570,12525075,2564,10/10/2003,Joel Coen,George Clooney,6,Crime,10
Invictus,WB,37491364,2170,8611147,2125,12/11/2009,Clint Eastwood,"  
Morgan Freeman
Russell Crowe",7,Drama,12
Invincible,BV,57806952,2987,17031122,2917,8/25/2006,Ericson Core,Mark Wahlberg,6,Drama,8
Iron Man,Par.,318412101,4154,98618668,4105,5/2/2008,Jon Favreau,Robert Downey Jr.,8,Action,5
Iron Man 2,Par.,312433331,4390,128122480,4380,5/7/2010,Jon Favreau,Robert Downey Jr.,7,Adventure,5
Iron Man 3,BV,409013994,4253,174144585,4253,5/3/2013,Shane Black,Robert Downey Jr.,7,Action,5
Isle Of Dogs,FoxS,32015231,1947,1620294,27,3/23/2018,Wes Anderson,Bryan Cranston,4,Crime,3
It,WB (NL),327481748,4148,123403419,4103,9/8/2017,Andy Muschietti,Bill Skarsgård,7,Horror,9
J. Edgar,WB,37306030,1985,11217324,1910,11/9/2011,Clint Eastwood,Leonardo DiCaprio,6,Drama,11
Jack and Jill,Sony,74158157,3438,25003575,3438,11/11/2011,Dennis Dugan,Adam Sandler,4,Comedy,11
Jack Reacher,Par.,80070736,3352,15210156,3352,12/21/2012,Christopher McQuarrie,Tom Cruise,6,Crime,12
Jack Reacher: Never Go Back,Par.,58697076,3780,22872490,3780,10/21/2016,Edward Zwick,Tom Cruise,6,Action,10
Jack Ryan: Shadow Recruit,Par.,50577412,3387,15451981,3387,1/17/2014,Kenneth Branagh,Chris Pine,6,Action,1
Jack the Giant Slayer,WB (NL),65187603,3525,27202226,3525,3/1/2013,Bryan Singer,Nicholas Hoult,6,Action,3
Jackass Presents: Bad Grandpa,Par.,102003019,3345,32055177,3336,10/25/2013,Jeff Tremaine,Johnny Knoxville,6,Comedy,10
Jackass: The Movie,Par.,64255312,2532,22763437,2509,10/25/2002,Jeff Tremaine,Johnny Knoxville,6,Comedy,10
Jarhead,Uni.,62658220,2448,27726210,2411,11/4/2005,Sam Mendes,Jake Gyllenhaal,7,Drama,11
Jason Bourne,Uni.,162434410,4039,59215365,4026,7/29/2016,Paul Greengrass,Matt Damon,6,Action,7
Jay and Silent Bob Strike Back,Mira.,30085147,2765,11018543,2765,8/24/2001,Kevin Smith,Jason Mewes,6,Comedy,8
Jeepers Creepers,UA,37904175,2944,13106108,2944,8/31/2001,Victor Salva,Gina Philips,6,Horror,8
Jeepers Creepers 2,UA,35667218,3124,15269324,3124,8/29/2003,Victor Salva,Jonathan Breck,6,Horror,8
Jersey Boys,WB,47047013,2905,13319371,2905,6/20/2014,Clint Eastwood,John Lloyd Young,7,Music,6
Jersey Girl,Mira.,25268157,1821,8319171,1520,3/26/2004,Kevin Smith,Ben Affleck,6,Comedy,3
Jigsaw,LGF,38052832,2941,16640452,2941,10/27/2017,Michael Spierig,Matt Passmore,8,Drama,10
Jimmy Neutron: Boy Genius,Par.,80936232,3151,13832786,3139,12/21/2001,John A. Davis,Debi Derryberry,6,Action,12
Joe Dirt,Sony,27087695,2638,8016008,2638,4/11/2001,Dennie Gordon,David Spade,5,Mystery,4
Joe Somebody,Fox,22771646,2517,3553725,2506,12/21/2001,John Pasquin,Tim Allen,5,Comedy,12
John Carter,BV,73078100,3749,30180188,3749,3/9/2012,Andrew Stanton,Taylor Kitsch,6,Action,3
John Tucker Must Die,Fox,41011711,2566,14276534,2560,7/28/2006,Betty Thomas,Jesse Metcalfe,6,Comedy,7
John Wick,LG/S,43037835,2589,14415922,2589,10/24/2014,Chad Stahelski,Keanu Reeves,7,Action,10
Johnny English,Uni.,28082366,2236,9134085,2236,7/18/2003,Peter Howitt,Rowan Atkinson,6,Adventure,7
Johnson Family Vacation,FoxS,31203964,1326,9375307,1317,4/7/2004,Christopher Erskin,Cedric the Entertainer,5,Comedy,4
Jonah: A VeggieTales Movie,Art.,25581229,1625,6201345,940,10/4/2002,Mike Nawrocki,Phil Vischer,6,Action,10
Journey 2: The Mysterious Island,WB (NL),103860290,3500,27335363,3470,2/10/2012,Brad Peyton,Josh Hutcherson,6,Adventure,2
Journey to the Center of the Earth,WB (NL),101704370,2830,21018141,2811,7/11/2008,Eric Brevig, Brendan Fraser,5,Family,7
Joy,Fox,56451232,2924,17015168,2896,12/25/2015,David O. Russell,Jennifer Lawrence,6,Drama,12
Joy Ride,Fox,21974919,2522,7347259,2497,10/5/2001,John Dahl,Steve Zahn,6,Mystery,10
Joyful Noise,WB,30932113,2735,11225190,2735,1/13/2012,Todd Graff,Queen Latifah,6,Comedy,1
Julie & Julia,Sony,94125426,2528,20027956,2354,8/7/2009,Nora Ephron,Meryl Streep,7,Romance,8
Jumanji: Welcome to the Jungle,Sony,404515480,3849,36169328,3765,12/20/2017,Jake Kasdan,Dwayne Johnson,7,Action,12
Jumper,Fox,80172128,3430,27354808,3428,2/14/2008,Doug Liman," 
Hayden Christensen",6,Adventure,2
Jumping the Broom,TriS,37295394,2035,15215487,2035,5/6/2011,Salim Akil,Paula Patton,6,Comedy,5
Juno,FoxS,143495265,2534,413869,7,12/5/2007,Jason Reitman,Ellen Page,7,Comedy,12
Jupiter Ascending,WB,47387723,3181,18372372,3181,2/6/2015,Lana Wachowski,Channing Tatum,5,Science Fiction,2
Jurassic Park III,Uni.,181171875,3462,50771645,3434,7/18/2001,Joe Johnston,Sam Neill,6,Adventure,7
Jurassic World,Uni.,652270625,4291,208806270,4274,6/12/2015,Colin Trevorrow,Chris Pratt,7,Action,6
Jurassic World: Fallen Kingdom,Uni.,417719760,4485,148024610,4475,6/22/2018,J.A. Bayona,Chris Pratt,7,Action,6
Just Friends,NL,32619671,2505,9191331,2505,11/23/2005,Roger Kumble,Ryan Reynolds,6,Comedy,11
Just Go With It,Sony,103028109,3548,30514732,3548,2/11/2011,Dennis Dugan,Adam Sandler,6,Comedy,2
Just Like Heaven,DW,48318130,3543,16408718,3508,9/16/2005,Mark Waters,Reese Witherspoon,7,Comedy,9
Just Married,Fox,56127162,2769,17548993,2766,1/10/2003,Shawn Levy,Ashton Kutcher,6,Comedy,1
Justice League,WB,229024295,4051,93842239,4051,11/17/2017,Zack Snyder,Ben Affleck,6,Action,11
Justin Bieber: Never Say Never,Par.,73013910,3118,29514054,3105,2/11/2011,Jon M. Chu,Justin Bieber,5,Documentary,2
K-19: The Widowmaker,Par.,35168966,2830,12778459,2828,7/19/2002,Kathryn Bigelow,Harrison Ford,6,Drama,7
Kangaroo Jack,WB,66934963,2848,16580209,2818,1/17/2003,David McNally,Anthony Anderson,5,Comedy,1
Keeping the Faith,BV,37047880,2171,8078671,2152,4/14/2000,Edward Norton,Ben Stiller,6,Comedy,4
Kevin Hart: Let Me Explain,LG/S,32244051,892,10030463,876,7/3/2013,Leslie Small,Kevin Hart,7,Comedy,7
Kevin Hart: What Now?,Uni.,23591043,2567,11767210,2567,10/14/2016,Leslie Small,Kevin Hart,7,Comedy,10
Kick-Ass,LGF,48071303,3065,19828687,3065,4/16/2010, Matthew Vaughn," 
Aaron Johnson",7,Action,4
Kick-Ass 2,Uni.,28795985,2945,13332955,2940,8/16/2013,Jeff Wadlow,Aaron Taylor-Johnson,6,Action,8
Killers,LGF,47059963,2859,15837266,2859,6/4/2010,Robert Luketic," 
Katherine Heigl",5,Crime,6
King Arthur,BV,51882244,3086,15193907,3086,7/7/2004,Antoine Fuqua,Clive Owen,6,Adventure,7
King Arthur: Legend of the Sword,WB,39175066,3702,15371270,3702,5/12/2017,Guy Ritchie,Charlie Hunnam,7,Action,5
King Kong,Uni.,218080025,3627,50130145,3568,12/14/2005,Peter Jackson,Naomi Watts,7,Adventure,12
Kingdom Come,FoxS,23249649,1111,7562284,1111,4/11/2001,Doug McHenry,LL Cool J,7,Comedy,4
Kingdom of Heaven,Fox,47398413,3219,19635996,3216,5/6/2005,Ridley Scott,Orlando Bloom,7,Drama,5
Kingsman: The Golden Circle,Fox,100234838,4038,39023010,4003,9/22/2017,Matthew Vaughn,Taron Egerton,7,Action,9
Kingsman: The Secret Service,Fox,128261724,3282,36206331,3204,2/13/2015,Matthew Vaughn,Colin Firth,8,Crime,2
Kiss of the Dragon,Fox,36845124,2100,13304027,2025,7/6/2001,Chris Nahon,Jet Li,7,Action,7
Knocked Up,Uni.,148768917,2975,30690990,2871,6/1/2007,Judd Apatow,Seth Rogen,6,Comedy,6
Knowing,Sum.,79957634,3337,24604751,3332,3/20/2009,Alex Proyas," 
Nicolas Cage",6,Action,3
Kong: Skull Island,WB,168052812,3846,61025472,3846,3/10/2017,Jordan Vogt-Roberts,Tom Hiddleston,6,Action,3
K-PAX,Uni.,50338485,2581,17215275,2541,10/26/2001,Iain Softley,Kevin Spacey,7,Drama,10
Krampus,Uni.,42725475,2919,16293325,2902,12/4/2015,Michael Dougherty,Adam Scott,6,Horror,12
Kubo and the Two Strings,Focus,48023088,3279,12608372,3260,8/19/2016,Travis Knight,Charlize Theron,8,Animation,8
Kung Fu Panda,P/DW,215434591,4136,60239130,4114,6/6/2008,John Stevenson, Jack Black,7,Adventure,6
Kung Fu Panda 2,P/DW,165249063,3952,47656302,3925,5/26/2011,Jennifer Yuh Nelson,Jack Black,7,Animation,5
Kung Fu Panda 3,Fox,143528619,3987,41282042,3955,1/29/2016,Alessandro Carloni,Jack Black,7,Action,1
La La Land,LG/S,151101803,3236,881104,5,12/9/2016,Damien Chazelle,Ryan Gosling,8,Comedy,12
Ladder 49,BV,74541707,3261,22088204,3260,10/1/2004,Jay Russell,Joaquin Phoenix,6,Drama,10
Lady Bird,A24,48958273,1557,364437,4,11/3/2017,Greta Gerwig,Saoirse Ronan,7,Comedy,11
Lady in the Water,WB,42285169,3235,18044396,3235,7/21/2006,M. Night Shyamalan,Paul Giamatti,6,Drama,7
Lake Placid,Fox,31770414,2102,10974145,2096,7/16/1999,Steve Miner,Bridget Fonda,6,Horror,7
Lakeview Terrace,SGem,39263506,2574,15004672,2464,9/19/2008,Neil LaBute," 
Samuel L. Jackson",6,Drama,9
Land of the Lost,Uni.,49438370,3534,18837350,3521,6/5/2009, Brad Silberling," 
Will Ferrell",5,Adventure,6
Lara Croft: Tomb Raider,Par.,131168070,3349,47735743,3308,6/15/2001,Simon West,Angelina Jolie,6,Adventure,6
Larry Crowne,Uni.,35608245,2976,13096065,2973,7/1/2011,Tom Hanks,Tom Hanks,6,Comedy,7
Last Holiday,Par.,38399961,2514,12806188,2514,1/13/2006,Wayne Wang,Queen Latifah,7,Adventure,1
Last Vegas,CBS,63914167,3237,16334566,3065,11/1/2013,Jon Turteltaub,Robert De Niro,6,Comedy,11
Law Abiding Citizen,Over.,73357727,2890,21039502,2890,10/16/2009,F. Gary Gray," 
Jamie Foxx",7,Drama,10
Lawless,Wein.,37400127,3138,10001982,2888,8/29/2012,John Hillcoat,Tom Hardy,7,Crime,8
Leatherheads,Uni.,31373938,2798,12682595,2769,4/4/2008, George Clooney, George Clooney,6,Comedy,4
Legally Blonde,MGM,96520674,2725,20377426,2620,7/13/2001,Robert Luketic,Reese Witherspoon,6,Comedy,7
