Title,Studio,TotalGross,TotalTheaters,OpeningGross,OpeningTheaters,OpeningDate,Director,MainActor,Rating,Genre,Month
This Christmas,SGem,49121934,1921,17958183,1858,11/21/2007,Preston A. Whitmore II, Delroy Lindo ,7,Comedy,11
This Is 40,Uni.,67544505,2931,11579175,2912,12/21/2012,Judd Apatow,Paul Rudd,6,Comedy,12
This is the End,Sony,101470202,3055,20719162,3055,6/12/2013,Evan Goldberg,James Franco,6,Action,6
This is Where I Leave You,WB,34296320,2868,11558149,2868,9/19/2014,Shawn Levy,Jason Bateman,7,Drama,9
This Means War,Fox,54760791,3189,17405930,3189,2/17/2012,McG,Reese Witherspoon,6,Action,2
Thor,Par.,181030624,3963,65723338,3955,5/6/2011,Kenneth Branagh,Chris Hemsworth,7,Adventure,5
Thor: Ragnarok,BV,315058289,4080,122744989,4080,11/3/2017,Taika Waititi,Chris Hemsworth,8,Action,11
Thor: The Dark World,BV,206362140,3841,85737841,3841,11/8/2013,Alan Taylor,Chris Hemsworth,7,Action,11
Three Kings,WB,60652036,2942,15847636,2942,10/1/1999,David O. Russell ,George Clooney,7,Action,10
Titan A.E.,Fox,22753426,2775,9376845,2734,6/16/2000,Don Bluth,Matt Damon,7,Animation,6
TMNT,WB,54149098,3120,24255205,3110,3/23/2007,Jonathan Liebesman,Megan Fox,6,Adventure,3
Tomb Raider,WB,58250803,3854,23633317,3854,3/16/2018,Roar Uthaug,Alicia Vikander,6,Action,3
Tomorrowland,BV,93436322,3972,33028165,3972,5/22/2015,Brad Bird,George Clooney,6,Adventure,5
Tooth Fairy,Fox,60022256,3345,14010409,3344,1/22/2010,Michael Lembeck," 
Dwayne Johnson",5,Comedy,1
